
> engine@0.1.0 start
> node --enable-source-maps out/main.js 3001 3002

Waiting for connection from team 0 on 3001
Waiting for connection from team 1 on 3002
Connected to team 0 on 3001
Connected to team 1 on 3002
Game started!
[Turn 18.933333333333334] [Damage event] BORDER: plane 79 damaged for 1 damage, now dead
[Turn 106.53333333333333] [Damage event] COLLISION: plane 0 damaged by 103 for 1 damage, now dead
[Turn 106.73333333333333] [Damage event] COLLISION: plane 157 damaged by 66 for 1 damage, now dead
[Turn 106.73333333333333] [Damage event] COLLISION: plane 66 damaged by 157 for 1 damage, now dead
[Turn 113.46666666666667] [Damage event] COLLISION: plane 131 damaged by 43 for 1 damage, now dead
[Turn 113.46666666666667] [Damage event] COLLISION: plane 43 damaged by 131 for 1 damage, now dead
[Turn 113.53333333333333] [Damage event] COLLISION: plane 198 damaged by 97 for 1 damage, now dead
[Turn 113.53333333333333] [Damage event] COLLISION: plane 97 damaged by 198 for 1 damage, now dead
[Turn 115.4] [Damage event] COLLISION: plane 146 damaged by 18 for 1 damage, now dead
[Turn 115.4] [Damage event] COLLISION: plane 18 damaged by 146 for 1 damage, now dead
[Turn 119.06666666666666] [Damage event] COLLISION: plane 164 damaged by 50 for 1 damage, now dead
[Turn 119.06666666666666] [Damage event] COLLISION: plane 50 damaged by 164 for 1 damage, now dead
[Turn 122.53333333333333] [Damage event] COLLISION: plane 133 damaged by 16 for 1 damage, now dead
[Turn 122.53333333333333] [Damage event] COLLISION: plane 16 damaged by 133 for 1 damage, now dead
[Turn 124.4] [Damage event] COLLISION: plane 111 damaged by 51 for 1 damage, now dead
[Turn 124.4] [Damage event] COLLISION: plane 51 damaged by 111 for 1 damage, now dead
[Turn 124.46666666666667] [Damage event] COLLISION: plane 144 damaged by 40 for 1 damage, now dead
[Turn 124.46666666666667] [Damage event] COLLISION: plane 40 damaged by 144 for 1 damage, now dead
[Turn 126] [Damage event] COLLISION: plane 158 damaged by 9 for 1 damage, now dead
[Turn 126] [Damage event] COLLISION: plane 9 damaged by 158 for 1 damage, now dead
[Turn 127.53333333333333] [Damage event] COLLISION: plane 106 damaged by 5 for 1 damage, now dead
[Turn 127.53333333333333] [Damage event] COLLISION: plane 5 damaged by 106 for 1 damage, now dead
[Turn 128.8] [Damage event] COLLISION: plane 136 damaged by 23 for 1 damage, now dead
[Turn 128.8] [Damage event] COLLISION: plane 23 damaged by 136 for 1 damage, now dead
[Turn 129.93333333333334] [Damage event] COLLISION: plane 179 damaged by 76 for 1 damage, now dead
[Turn 129.93333333333334] [Damage event] COLLISION: plane 76 damaged by 179 for 1 damage, now dead
[Turn 134.06666666666666] [Damage event] COLLISION: plane 171 damaged by 54 for 1 damage, now dead
[Turn 134.06666666666666] [Damage event] COLLISION: plane 54 damaged by 171 for 1 damage, now dead
[Turn 134.13333333333333] [Damage event] COLLISION: plane 156 damaged by 58 for 1 damage, now dead
[Turn 134.13333333333333] [Damage event] COLLISION: plane 58 damaged by 156 for 1 damage, now dead
[Turn 137.46666666666667] [Damage event] COLLISION: plane 129 damaged by 35 for 1 damage, now dead
[Turn 137.46666666666667] [Damage event] COLLISION: plane 35 damaged by 129 for 1 damage, now dead
[Turn 139.4] [Damage event] COLLISION: plane 151 damaged by 77 for 1 damage, now dead
[Turn 139.4] [Damage event] COLLISION: plane 77 damaged by 151 for 1 damage, now dead
[Turn 140.13333333333333] [Damage event] COLLISION: plane 154 damaged by 98 for 1 damage, now dead
[Turn 140.13333333333333] [Damage event] COLLISION: plane 98 damaged by 154 for 1 damage, now dead
[Turn 140.93333333333334] [Damage event] COLLISION: plane 127 damaged by 91 for 1 damage, now dead
[Turn 140.93333333333334] [Damage event] COLLISION: plane 91 damaged by 127 for 1 damage, now dead
[Turn 144.13333333333333] [Damage event] COLLISION: plane 134 damaged by 96 for 1 damage, now dead
[Turn 144.13333333333333] [Damage event] COLLISION: plane 96 damaged by 134 for 1 damage, now dead
[Turn 144.6] [Damage event] COLLISION: plane 109 damaged by 6 for 1 damage, now dead
[Turn 144.6] [Damage event] COLLISION: plane 6 damaged by 109 for 1 damage, now dead
[Turn 145.46666666666667] [Damage event] COLLISION: plane 178 damaged by 84 for 1 damage, now dead
[Turn 145.46666666666667] [Damage event] COLLISION: plane 84 damaged by 178 for 1 damage, now dead
[Turn 149.4] [Damage event] COLLISION: plane 123 damaged by 11 for 1 damage, now dead
[Turn 149.4] [Damage event] COLLISION: plane 11 damaged by 123 for 1 damage, now dead
[Turn 150.46666666666667] [Damage event] COLLISION: plane 102 damaged by 26 for 1 damage, now dead
[Turn 150.46666666666667] [Damage event] COLLISION: plane 26 damaged by 102 for 1 damage, now dead
[Turn 150.93333333333334] [Damage event] COLLISION: plane 100 damaged by 30 for 1 damage, now dead
[Turn 150.93333333333334] [Damage event] COLLISION: plane 30 damaged by 100 for 1 damage, now dead
[Turn 151.86666666666667] [Damage event] COLLISION: plane 165 damaged by 59 for 1 damage, now dead
[Turn 151.86666666666667] [Damage event] COLLISION: plane 59 damaged by 165 for 1 damage, now dead
[Turn 155.73333333333332] [Damage event] COLLISION: plane 160 damaged by 70 for 1 damage, now dead
[Turn 155.73333333333332] [Damage event] COLLISION: plane 70 damaged by 160 for 1 damage, now dead
[Turn 157.13333333333333] [Damage event] COLLISION: plane 152 damaged by 38 for 1 damage, now dead
[Turn 157.13333333333333] [Damage event] COLLISION: plane 38 damaged by 152 for 1 damage, now dead
[Turn 157.86666666666667] [Damage event] COLLISION: plane 175 damaged by 67 for 1 damage, now dead
[Turn 157.86666666666667] [Damage event] COLLISION: plane 67 damaged by 175 for 1 damage, now dead
[Turn 158.2] [Damage event] COLLISION: plane 197 damaged by 92 for 1 damage, now dead
[Turn 158.2] [Damage event] COLLISION: plane 92 damaged by 197 for 1 damage, now dead
[Turn 159.33333333333334] [Damage event] COLLISION: plane 159 damaged by 89 for 1 damage, now dead
[Turn 159.33333333333334] [Damage event] COLLISION: plane 89 damaged by 159 for 1 damage, now dead
[Turn 160.8] [Damage event] COLLISION: plane 120 damaged by 10 for 1 damage, now dead
[Turn 160.8] [Damage event] COLLISION: plane 10 damaged by 120 for 1 damage, now dead
[Turn 162.53333333333333] [Damage event] COLLISION: plane 121 damaged by 36 for 1 damage, now dead
[Turn 162.53333333333333] [Damage event] COLLISION: plane 36 damaged by 121 for 1 damage, now dead
[Turn 162.6] [Damage event] COLLISION: plane 161 damaged by 56 for 1 damage, now dead
[Turn 162.6] [Damage event] COLLISION: plane 56 damaged by 161 for 1 damage, now dead
[Turn 162.93333333333334] [Damage event] COLLISION: plane 188 damaged by 75 for 1 damage, now dead
[Turn 162.93333333333334] [Damage event] COLLISION: plane 75 damaged by 188 for 1 damage, now dead
[Turn 163.26666666666668] [Damage event] COLLISION: plane 122 damaged by 1 for 1 damage, now dead
[Turn 163.26666666666668] [Damage event] COLLISION: plane 1 damaged by 122 for 1 damage, now dead
[Turn 167.06666666666666] [Damage event] COLLISION: plane 140 damaged by 46 for 1 damage, now dead
[Turn 167.06666666666666] [Damage event] COLLISION: plane 46 damaged by 140 for 1 damage, now dead
[Turn 168.33333333333334] [Damage event] COLLISION: plane 180 damaged by 17 for 1 damage, now dead
[Turn 168.33333333333334] [Damage event] COLLISION: plane 17 damaged by 180 for 1 damage, now dead
[Turn 170.53333333333333] [Damage event] COLLISION: plane 150 damaged by 95 for 1 damage, now dead
[Turn 170.53333333333333] [Damage event] COLLISION: plane 95 damaged by 150 for 1 damage, now dead
[Turn 173.2] [Damage event] COLLISION: plane 149 damaged by 14 for 1 damage, now dead
[Turn 173.2] [Damage event] COLLISION: plane 14 damaged by 149 for 1 damage, now dead
[Turn 174.6] [Damage event] COLLISION: plane 138 damaged by 72 for 1 damage, now dead
[Turn 174.6] [Damage event] COLLISION: plane 72 damaged by 138 for 1 damage, now dead
[Turn 178.26666666666668] [Damage event] COLLISION: plane 191 damaged by 68 for 1 damage, now dead
[Turn 178.26666666666668] [Damage event] COLLISION: plane 68 damaged by 191 for 1 damage, now dead
[Turn 179.53333333333333] [Damage event] COLLISION: plane 108 damaged by 47 for 1 damage, now dead
[Turn 179.53333333333333] [Damage event] COLLISION: plane 47 damaged by 108 for 1 damage, now dead
[Turn 181.6] [Damage event] COLLISION: plane 195 damaged by 55 for 1 damage, now dead
[Turn 181.6] [Damage event] COLLISION: plane 55 damaged by 195 for 1 damage, now dead
[Turn 182] [Damage event] COLLISION: plane 126 damaged by 7 for 1 damage, now dead
[Turn 182] [Damage event] COLLISION: plane 7 damaged by 126 for 1 damage, now dead
[Turn 184.2] [Damage event] COLLISION: plane 118 damaged by 65 for 1 damage, now dead
[Turn 184.2] [Damage event] COLLISION: plane 65 damaged by 118 for 1 damage, now dead
[Turn 185.2] [Damage event] COLLISION: plane 115 damaged by 22 for 1 damage, now dead
[Turn 185.2] [Damage event] COLLISION: plane 22 damaged by 115 for 1 damage, now dead
[Turn 186.8] [Damage event] COLLISION: plane 142 damaged by 19 for 1 damage, now dead
[Turn 186.8] [Damage event] COLLISION: plane 19 damaged by 142 for 1 damage, now dead
[Turn 190.73333333333332] [Damage event] COLLISION: plane 110 damaged by 20 for 1 damage, now dead
[Turn 190.73333333333332] [Damage event] COLLISION: plane 20 damaged by 110 for 1 damage, now dead
[Turn 191.66666666666666] [Damage event] COLLISION: plane 162 damaged by 8 for 1 damage, now dead
[Turn 191.66666666666666] [Damage event] COLLISION: plane 8 damaged by 162 for 1 damage, now dead
[Turn 192.53333333333333] [Damage event] COLLISION: plane 141 damaged by 41 for 1 damage, now dead
[Turn 192.53333333333333] [Damage event] COLLISION: plane 41 damaged by 141 for 1 damage, now dead
[Turn 193.33333333333334] [Damage event] COLLISION: plane 155 damaged by 39 for 1 damage, now dead
[Turn 193.33333333333334] [Damage event] COLLISION: plane 39 damaged by 155 for 1 damage, now dead
[Turn 195.33333333333334] [Damage event] COLLISION: plane 170 damaged by 63 for 1 damage, now dead
[Turn 195.33333333333334] [Damage event] COLLISION: plane 63 damaged by 170 for 1 damage, now dead
[Turn 197.06666666666666] [Damage event] COLLISION: plane 177 damaged by 83 for 1 damage, now dead
[Turn 197.06666666666666] [Damage event] COLLISION: plane 83 damaged by 177 for 1 damage, now dead
[Turn 199.4] [Damage event] COLLISION: plane 182 damaged by 33 for 1 damage, now dead
[Turn 199.4] [Damage event] COLLISION: plane 33 damaged by 182 for 1 damage, now dead
[Turn 199.8] [Damage event] COLLISION: plane 130 damaged by 27 for 1 damage, now dead
[Turn 199.8] [Damage event] COLLISION: plane 27 damaged by 130 for 1 damage, now dead
[Turn 200.46666666666667] [Damage event] COLLISION: plane 172 damaged by 82 for 1 damage, now dead
[Turn 200.46666666666667] [Damage event] COLLISION: plane 82 damaged by 172 for 1 damage, now dead
[Turn 200.93333333333334] [Damage event] COLLISION: plane 169 damaged by 62 for 1 damage, now dead
[Turn 200.93333333333334] [Damage event] COLLISION: plane 62 damaged by 169 for 1 damage, now dead
[Turn 203.73333333333332] [Damage event] COLLISION: plane 128 damaged by 94 for 1 damage, now dead
[Turn 203.73333333333332] [Damage event] COLLISION: plane 94 damaged by 128 for 1 damage, now dead
[Turn 204.53333333333333] [Damage event] COLLISION: plane 117 damaged by 44 for 1 damage, now dead
[Turn 204.53333333333333] [Damage event] COLLISION: plane 44 damaged by 117 for 1 damage, now dead
[Turn 206] [Damage event] COLLISION: plane 148 damaged by 53 for 1 damage, now dead
[Turn 206] [Damage event] COLLISION: plane 53 damaged by 148 for 1 damage, now dead
[Turn 212.06666666666666] [Damage event] COLLISION: plane 153 damaged by 69 for 1 damage, now dead
[Turn 212.06666666666666] [Damage event] COLLISION: plane 69 damaged by 153 for 1 damage, now dead
[Turn 212.4] [Damage event] COLLISION: plane 187 damaged by 13 for 1 damage, now dead
[Turn 212.4] [Damage event] COLLISION: plane 13 damaged by 187 for 1 damage, now dead
[Turn 214.73333333333332] [Damage event] COLLISION: plane 199 damaged by 78 for 1 damage, now dead
[Turn 214.73333333333332] [Damage event] COLLISION: plane 78 damaged by 199 for 1 damage, now dead
[Turn 217.93333333333334] [Damage event] COLLISION: plane 125 damaged by 90 for 1 damage, now dead
[Turn 217.93333333333334] [Damage event] COLLISION: plane 90 damaged by 125 for 1 damage, now dead
[Turn 218.73333333333332] [Damage event] COLLISION: plane 124 damaged by 37 for 1 damage, now dead
[Turn 218.73333333333332] [Damage event] COLLISION: plane 37 damaged by 124 for 1 damage, now dead
[Turn 222.53333333333333] [Damage event] COLLISION: plane 135 damaged by 25 for 1 damage, now dead
[Turn 222.53333333333333] [Damage event] COLLISION: plane 25 damaged by 135 for 1 damage, now dead
[Turn 226.06666666666666] [Damage event] COLLISION: plane 183 damaged by 60 for 1 damage, now dead
[Turn 226.06666666666666] [Damage event] COLLISION: plane 60 damaged by 183 for 1 damage, now dead
[Turn 228.13333333333333] [Damage event] COLLISION: plane 176 damaged by 71 for 1 damage, now dead
[Turn 228.13333333333333] [Damage event] COLLISION: plane 71 damaged by 176 for 1 damage, now dead
[Turn 228.8] [Damage event] COLLISION: plane 193 damaged by 15 for 1 damage, now dead
[Turn 228.8] [Damage event] COLLISION: plane 15 damaged by 193 for 1 damage, now dead
[Turn 233.8] [Damage event] COLLISION: plane 145 damaged by 52 for 1 damage, now dead
[Turn 233.8] [Damage event] COLLISION: plane 52 damaged by 145 for 1 damage, now dead
[Turn 233.93333333333334] [Damage event] COLLISION: plane 104 damaged by 34 for 1 damage, now dead
[Turn 233.93333333333334] [Damage event] COLLISION: plane 34 damaged by 104 for 1 damage, now dead
[Turn 235.73333333333332] [Damage event] COLLISION: plane 119 damaged by 32 for 1 damage, now dead
[Turn 235.73333333333332] [Damage event] COLLISION: plane 32 damaged by 119 for 1 damage, now dead
[Turn 236.66666666666666] [Damage event] COLLISION: plane 189 damaged by 61 for 1 damage, now dead
[Turn 236.66666666666666] [Damage event] COLLISION: plane 61 damaged by 189 for 1 damage, now dead
[Turn 238.13333333333333] [Damage event] COLLISION: plane 166 damaged by 86 for 1 damage, now dead
[Turn 238.13333333333333] [Damage event] COLLISION: plane 86 damaged by 166 for 1 damage, now dead
[Turn 241.86666666666667] [Damage event] COLLISION: plane 167 damaged by 2 for 1 damage, now dead
[Turn 241.86666666666667] [Damage event] COLLISION: plane 2 damaged by 167 for 1 damage, now dead
[Turn 245] [Damage event] COLLISION: plane 186 damaged by 48 for 1 damage, now dead
[Turn 245] [Damage event] COLLISION: plane 48 damaged by 186 for 1 damage, now dead
[Turn 246.53333333333333] [Damage event] COLLISION: plane 107 damaged by 31 for 1 damage, now dead
[Turn 246.53333333333333] [Damage event] COLLISION: plane 31 damaged by 107 for 1 damage, now dead
[Turn 258.73333333333335] [Damage event] COLLISION: plane 185 damaged by 64 for 1 damage, now dead
[Turn 258.73333333333335] [Damage event] COLLISION: plane 64 damaged by 185 for 1 damage, now dead
[Turn 263.4] [Damage event] COLLISION: plane 163 damaged by 24 for 1 damage, now dead
[Turn 263.4] [Damage event] COLLISION: plane 24 damaged by 163 for 1 damage, now dead
[Turn 268.46666666666664] [Damage event] COLLISION: plane 181 damaged by 4 for 1 damage, now dead
[Turn 268.46666666666664] [Damage event] COLLISION: plane 4 damaged by 181 for 1 damage, now dead
[Turn 277.6] [Damage event] COLLISION: plane 192 damaged by 29 for 1 damage, now dead
[Turn 277.6] [Damage event] COLLISION: plane 29 damaged by 192 for 1 damage, now dead
[Turn 301.73333333333335] [Damage event] COLLISION: plane 194 damaged by 80 for 1 damage, now dead
[Turn 301.73333333333335] [Damage event] COLLISION: plane 80 damaged by 194 for 1 damage, now dead
[Turn 308.26666666666665] [Damage event] COLLISION: plane 116 damaged by 73 for 1 damage, now dead
[Turn 308.26666666666665] [Damage event] COLLISION: plane 73 damaged by 116 for 1 damage, now dead
Game ended!
Writing gamelog to ../../logs/log_2024_09_21__21_42_51/gamelog.json...
Done
